Application Name,Assessment Name,Assessment Compliance Status,End Time,Overall RTO,Overall RPO,Target RTO,Target RPO,Application Compliance Status,Resiliency Score,Last Assessed,Application Tier,Region
ecs-test-multi-region,run-1,PolicyBreached,10/21/22 15:12,2592631,0,30,30,PolicyBreached,0,10/21/22 15:12,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,2/3/23 16:45,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,2/3/23 16:47,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,2/3/23 16:52,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,2/3/23 16:54,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,3/16/23 19:58,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,3/20/23 18:12,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,3/20/23 18:14,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
myServerlessApp,run-1,PolicyBreached,9/19/22 19:40,5187002,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,run-2,PolicyBreached,9/19/22 19:52,2592131,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,run-3,PolicyBreached,9/19/22 20:57,2592131,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 4:23,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 4:25,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:16,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:20,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:46,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyMet,11/3/22 14:52,4800,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,Assessment-report-pa477a8i8h,PolicyBreached,12/5/22 16:28,7783803,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,1/3/23 22:53,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 15:56,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:02,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:23,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:25,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:31,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:34,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,2/3/23 16:37,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myWebApp,run-1,PolicyBreached,9/18/22 23:56,5187302,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Assessment-report-ye5v4j1biys,PolicyMet,9/19/22 0:19,5400,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyBreached,9/19/22 1:30,2597401,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyMet,9/19/22 1:33,5700,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,tony,PolicyMet,9/30/22 17:24,5700,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyMet,10/5/22 22:14,5700,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyMet,10/5/22 22:20,5400,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyMet,11/2/22 19:16,5400,300,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyBreached,11/2/22 19:42,5189402,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyBreached,3/20/23 18:01,2592001,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyBreached,3/20/23 18:04,1800,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
myWebApp,Codepipeline-Assessment,PolicyBreached,3/20/23 20:45,2592001,2592001,300,300,PolicyBreached,0.25,3/20/23 20:45,MissionCritical,us-east-1
new-api-test-11,,NotAssessed,,,,,,NotAssessed,0,,Important,us-east-1
new-api-test-9,,NotAssessed,,,,,,NotAssessed,0,,NonCritical,us-east-1
resource-group-volume,,NotAssessed,,,,,,NotAssessed,0,,MissionCritical,us-east-1
terraform-1,Assessment-report-84ektbglj58,PolicyBreached,11/16/22 20:32,1800,0,600,300,PolicyBreached,0,11/16/22 20:42,MissionCritical,us-east-1
terraform-1,Assessment-report-ujwfmoiz10n,PolicyBreached,11/16/22 20:34,1800,0,600,300,PolicyBreached,0,11/16/22 20:42,MissionCritical,us-east-1
terraform-1,Assessment-report-vhi98hgat4,PolicyBreached,11/16/22 20:42,1800,0,600,300,PolicyBreached,0,11/16/22 20:42,MissionCritical,us-east-1
tony,Assessment-report-75yecegwcp3,PolicyMet,10/11/22 19:56,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-GJzG5kxy6f,PolicyMet,3/21/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-359j3eBT6c,PolicyMet,3/22/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-GxSXSWAvdu,PolicyMet,3/23/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-b9ubSJYlyw,PolicyMet,3/24/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-WfqLXIqneb,PolicyMet,3/25/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-VnTDLEwuXF,PolicyMet,3/26/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-YqIQZ8J4HL,PolicyMet,3/27/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
tony,System-Assessment-KYQylAEhkK,PolicyMet,3/28/23 20:48,0,0,300,300,PolicyMet,0.67,3/28/23 20:48,MissionCritical,us-east-1
workshop-test,Assessment-report-jia4mbal18g,PolicyBreached,3/27/23 15:28,2592001,2592001,300,300,PolicyBreached,0.22,3/27/23 15:28,MissionCritical,us-east-1
dsfgdfhgfg,Assessment-report-hl8n0ldgswq,PolicyBreached,1/24/23 19:39,2592001,2592001,3600,3600,PolicyBreached,0.2,1/24/23 19:39,Critical,us-east-2
jyhudsgdfgh,,NotAssessed,,,,,,NotAssessed,0,,Critical,us-east-2
Bingo,assessment-report-16752,PolicyBreached,2/1/23 18:39,2592001,2592001,14400,3600,PolicyBreached,0.37,2/1/23 18:39,Critical,us-west-2